word,left_context,right_context,general_context
time,[],[],"[('shoes', 0.83150256), ('shoe', 0.80294645)]"
shoes,"[('sneakers', 0.93264252), ('babies', 0.92918915), ('cleats', 0.91850626), ('boots', 0.90356642), ('slides', 0.87904453), ('Today', 0.86989498), ('Boot', 0.86989498), ('sandals', 0.85781693), ('things', 0.82626307)]","[('sneakers', 0.92520183), ('cleats', 0.88321197), ('boots', 0.87469387), ('Roshes', 0.82495201), ('colors', 0.82068354), ('Cleats', 0.80753225), ('Shoes', 0.80683911)]","[('shoe', 0.89199585), ('pair', 0.84909904), ('time', 0.83150256), ('feet', 0.82650054)]"
box,"[('touches', 0.91963774), ('area', 0.88325638)]",[],[]
nephew,"[('husband', 0.94000244), ('wife', 0.93253076), ('daughter', 0.9231298), ('grandson', 0.90759361), ('boyfriend', 0.90739262), ('son', 0.90428501), ('lady', 0.8856746), ('boyfriends', 0.87902141), ('sisters', 0.87902141), ('sons', 0.873694), ('dad', 0.86877012), ('granddaughter', 0.8360368)]",[],[]
shoe,"[('product', 0.82667255)]",[],"[('shoes', 0.89199585), ('fit', 0.81707454), ('foot', 0.81619394), ('feet', 0.8036617), ('time', 0.80294645)]"
size,"[('marathon', 0.83898997)]",[],[]
stuff,[],[],[]
son,"[('daughter', 0.9833796), ('grandson', 0.97071552), ('boyfriends', 0.95022118), ('sisters', 0.95022118), ('husband', 0.92166233), ('wife', 0.91117132), ('dad', 0.90735042), ('nephew', 0.90428501), ('Life', 0.84512717), ('Number', 0.84512717), ('Daughter', 0.84512717), ('nephews', 0.84512717), ('Granddaughter', 0.84512717), ('lady', 0.83223772)]","[('daughter', 0.95906389), ('Grandson', 0.88114911), ('Boyfriend', 0.88114911), ('Kid', 0.88114911), ('grandson', 0.87932384), ('Hubby', 0.87642199), ('Husband', 0.85616255), ('husband', 0.85125113)]",[]
toes,"[('closet', 0.88840455), ('heels', 0.8238731)]",[],[]
returns,[],[],[]
cleat,[],[],[]
weeks,"[('days', 0.85574239)]","[('months', 0.94016844), ('years', 0.87943482), ('month', 0.84510165)]",[]
practices,[],[],[]
week,"[('couple', 0.95185685), ('month', 0.94282442), ('lot', 0.94203103), ('tad', 0.94134474), ('glove', 0.94134474), ('ton', 0.94134474), ('bIt', 0.94134474), ('squat', 0.94134474), ('super', 0.94134474), ('half', 0.93498725), ('result', 0.92353135), ('cloud', 0.92263448), ('chance', 0.9193089), ('try', 0.91572237), ('halfsize', 0.91276097), ('bit', 0.8744334), ('nurse', 0.86862588), ('blister', 0.86082822), ('gift', 0.85120922), ('woman', 0.83192986)]",[],[]
game,[],[],[]
weekend,[],[],[]
toe,[],[],[]
guys,[],[],[]
luck,"[('Luck', 0.80313665)]",[],[]
Sole,[],[],[]
days,"[('weeks', 0.85574239)]",[],[]
price,[],[],[]
store,[],[],[]
love,"[('terms', 0.86214417), ('black', 0.81204653), ('stock', 0.80489105)]",[],[]
amazon,[],[],[]
foot,"[('feet', 0.91885942)]",[],"[('shoe', 0.81619394)]"
money,[],[],[]
women,"[('ladies', 0.80206311)]","[('Mom', 0.9966315), ('men', 0.99500632), ('Men', 0.89464211), ('woman', 0.88068783)]",[]
products,[],[],[]
bit,"[('lot', 0.92903417), ('tad', 0.92021042), ('glove', 0.92021042), ('ton', 0.92021042), ('bIt', 0.92021042), ('squat', 0.92021042), ('super', 0.92021042), ('half', 0.91122717), ('cloud', 0.90146279), ('result', 0.9011507), ('chance', 0.89684886), ('try', 0.8951633), ('halfsize', 0.89226842), ('couple', 0.890432), ('week', 0.8744334), ('month', 0.85485232), ('nurse', 0.84912413), ('blister', 0.8435604), ('gift', 0.83569872), ('woman', 0.80744958)]",[],[]
design,[],[],[]
quality,[],[],[]
materials,[],[],[]
material,[],[],[]
minutes,[],[],[]
blister,"[('tad', 0.9144665), ('glove', 0.9144665), ('ton', 0.9144665), ('bIt', 0.9144665), ('squat', 0.9144665), ('super', 0.9144665), ('half', 0.91212517), ('lot', 0.91046846), ('cloud', 0.89583588), ('result', 0.89552575), ('chance', 0.89125079), ('try', 0.88957572), ('halfsize', 0.8866989), ('couple', 0.88487399), ('week', 0.86082822), ('month', 0.84782708), ('nurse', 0.84382397), ('bit', 0.8435604), ('gift', 0.8358103), ('woman', 0.81221139)]",[],[]
friends,[],[],[]
times,[],[],[]
blisters,[],[],[]
fact,[],"[('websites', 0.96227086)]",[]
shipping,[],[],[]
fit,[],[],"[('shoe', 0.81707454)]"
look,[],"[('styling', 0.92035443), ('pair', 0.9049558), ('set', 0.89767766), ('fan', 0.89482284), ('pairs', 0.89011359), ('kind', 0.88620907), ('rest', 0.8861357), ('lots', 0.88495392), ('lack', 0.88255632), ('Plenty', 0.88255632), ('terms', 0.88255632), ('tons', 0.88255632), ('care', 0.88255632), ('chances', 0.88255632), ('Shape', 0.88255632), ('Lots', 0.88255632), ('fashions', 0.88255632), ('textures', 0.88255632), ('thoughts', 0.88255632), ('outsides', 0.88255632), ('layers', 0.88255632), ('Lack', 0.88255632), ('tips', 0.88255632), ('Kind', 0.88255632), ('Couple', 0.88255632), ('lengths', 0.88255632), ('kinds', 0.88255632), ('balls', 0.88150358), ('variety', 0.87120301), ('end', 0.86487097), ('ton', 0.86418653), ('signs', 0.8634401), ('versions', 0.85993439), ('lot', 0.85755843), ('type', 0.85725397), ('plenty', 0.85358262), ('types', 0.85312808), ('outside', 0.8478545), ('tip', 0.84700906), ('periods', 0.84376556), ('streets', 0.84240222), ('feel', 0.83949268), ('alot', 0.83599001), ('style', 0.83268607), ('matter', 0.83137214), ('middle', 0.83047605), ('edges', 0.82574606), ('edge', 0.82294595), ('inside', 0.80138999)]",[]
job,[],[],[]
sneaker,[],[],[]
minute,[],[],[]
feet,"[('foot', 0.91885942)]",[],"[('shoes', 0.82650054), ('shoe', 0.8036617)]"
pairs,[],"[('pair', 0.96807289), ('rest', 0.96678203), ('lots', 0.96598381), ('lack', 0.96567845), ('Plenty', 0.96567845), ('terms', 0.96567845), ('tons', 0.96567845), ('care', 0.96567845), ('chances', 0.96567845), ('Shape', 0.96567845), ('Lots', 0.96567845), ('fashions', 0.96567845), ('textures', 0.96567845), ('thoughts', 0.96567845), ('outsides', 0.96567845), ('layers', 0.96567845), ('Lack', 0.96567845), ('tips', 0.96567845), ('Kind', 0.96567845), ('Couple', 0.96567845), ('lengths', 0.96567845), ('kinds', 0.96567845), ('kind', 0.96287239), ('fan', 0.95507032), ('signs', 0.95486802), ('set', 0.95084381), ('variety', 0.95064831), ('ton', 0.93896842), ('end', 0.93630791), ('plenty', 0.93397593), ('balls', 0.93122131), ('types', 0.93020594), ('type', 0.92403305), ('lot', 0.91971862), ('versions', 0.91558313), ('matter', 0.91126823), ('periods', 0.90801316), ('edges', 0.9035176), ('outside', 0.90070575), ('middle', 0.89722711), ('alot', 0.89682078), ('look', 0.89011359), ('tip', 0.88697743), ('edge', 0.85244238), ('inside', 0.84861684), ('styling', 0.84681648), ('feel', 0.83086556)]",[]
sneakers,"[('shoes', 0.93264252), ('cleats', 0.89742851), ('boots', 0.88536304), ('babies', 0.87771213), ('slides', 0.86499643), ('sandals', 0.8515532), ('Today', 0.81730539), ('Boot', 0.81730539)]","[('shoes', 0.92520183), ('boots', 0.82306635), ('cleats', 0.80409753)]",[]
comfort,[],[],[]
issue,[],[],[]
soles,[],[],[]
weight,[],[],[]
purchase,[],[],[]
durability,[],[],[]
construction,[],[],[]
pair,[],"[('lots', 0.96902406), ('rest', 0.96899182), ('lack', 0.96867788), ('Plenty', 0.96867788), ('terms', 0.96867788), ('tons', 0.96867788), ('care', 0.96867788), ('chances', 0.96867788), ('Shape', 0.96867788), ('Lots', 0.96867788), ('fashions', 0.96867788), ('textures', 0.96867788), ('thoughts', 0.96867788), ('outsides', 0.96867788), ('layers', 0.96867788), ('Lack', 0.96867788), ('tips', 0.96867788), ('Kind', 0.96867788), ('Couple', 0.96867788), ('lengths', 0.96867788), ('kinds', 0.96867788), ('pairs', 0.96807289), ('kind', 0.96585274), ('variety', 0.96318477), ('set', 0.95561761), ('fan', 0.95510727), ('signs', 0.94961828), ('end', 0.94102567), ('plenty', 0.93887943), ('ton', 0.93886054), ('balls', 0.93881392), ('types', 0.93518174), ('type', 0.92796892), ('lot', 0.92748058), ('versions', 0.91652626), ('matter', 0.91421646), ('periods', 0.91109562), ('middle', 0.90962315), ('outside', 0.9085421), ('edges', 0.90632391), ('look', 0.9049558), ('tip', 0.90051818), ('alot', 0.89744711), ('edge', 0.85998869), ('inside', 0.85862488), ('styling', 0.8585034), ('feel', 0.84779477)]","[('shoes', 0.84909904)]"
work,[],[],[]
play,[],[],[]
ball,[],[],[]
product,"[('shoe', 0.82667255)]",[],[]
picture,"[('rest', 0.85781085), ('inside', 0.85525841), ('outside', 0.84231937), ('mail', 0.82906014), ('past', 0.81943583), ('chances', 0.81829041), ('fashions', 0.81829041), ('pic', 0.81829041), ('ends', 0.81829041), ('sol', 0.81829041), ('photos', 0.81829041), ('rains', 0.81829041), ('outsides', 0.81829041), ('schools', 0.81829041), ('tips', 0.81829041), ('Military', 0.81829041), ('mans', 0.81829041), ('Metcon', 0.81829041), ('moment', 0.80936724)]",[],[]
year,[],[],[]
mom,[],[],[]
light,"[('cute', 0.81889695)]",[],[]
order,[],[],[]
problems,"[('issues', 0.81944233)]","[('mornings', 0.88762343), ('rains', 0.88762343), ('Match', 0.88762343), ('issues', 0.80553353)]",[]
day,"[('cares', 0.90782183), ('kinds', 0.90782183)]",[],[]
problem,[],[],[]
Stylish,[],"[('shirts', 0.94752991), ('walks', 0.87291169), ('squats', 0.81976759), ('roads', 0.81808197)]",[]
color,[],[],[]
blue,[],[],[]
trail,[],[],[]
Love,"[('Feels', 1.0), ('Durability', 1.0), ('Light', 1.0), ('Sandals', 1.0), ('Fits', 1.0), ('Hubby', 1.0), ('Order', 1.0), ('Classic', 1.0), ('Note', 1.0), ('Price', 0.80170822)]",[],[]
snug,[],[],[]
daughter,"[('son', 0.9833796), ('grandson', 0.97927552), ('boyfriends', 0.96514708), ('sisters', 0.96514708), ('husband', 0.95335096), ('wife', 0.94319451), ('dad', 0.92737436), ('nephew', 0.9231298), ('lady', 0.86803651), ('Life', 0.82270747), ('Number', 0.82270747), ('Daughter', 0.82270747), ('nephews', 0.82270747), ('Granddaughter', 0.82270747), ('sons', 0.80520326)]","[('son', 0.95906389), ('Hubby', 0.89122194), ('Grandson', 0.88570762), ('Boyfriend', 0.88570762), ('Kid', 0.88570762), ('Husband', 0.84784085), ('grandson', 0.83779043), ('husband', 0.81885833)]",[]
today,[],[],[]
spikes,[],[],[]
sole,[],[],[]
cross,[],[],[]
country,"[('training', 0.86943984), ('trainer', 0.82916743)]",[],[]
training,"[('country', 0.86943984)]","[('lifestyle', 0.82167661)]",[]
spike,[],[],[]
plate,"[('airs', 0.84913087)]",[],[]
track,[],[],[]
distances,"[('periods', 0.86847234), ('walks', 0.83095318), ('distance', 0.82467282)]",[],[]
school,[],[],[]
season,[],[],[]
surface,[],[],[]
golf,[],[],[]
course,"[('Flyknits', 0.93653452)]",[],[]
grass,[],[],[]
gold,[],[],[]
race,[],[],[]
runners,[],[],[]
running,[],"[('runnings', 0.99169576), ('companies', 0.96409988), ('tennis', 0.92128104), ('walking', 0.85079771), ('hiking', 0.83841097), ('dress', 0.82012951), ('nurses', 0.81191576)]",[]
past,"[('chances', 0.99367392), ('fashions', 0.99367392), ('pic', 0.99367392), ('ends', 0.99367392), ('sol', 0.99367392), ('photos', 0.99367392), ('rains', 0.99367392), ('outsides', 0.99367392), ('schools', 0.99367392), ('tips', 0.99367392), ('Military', 0.99367392), ('mans', 0.99367392), ('Metcon', 0.99367392), ('outside', 0.98718429), ('mail', 0.95420218), ('rest', 0.94596279), ('gym', 0.94579536), ('middle', 0.92205805), ('inside', 0.92197174), ('market', 0.88831234), ('ground', 0.83716559), ('picture', 0.81943583), ('end', 0.80389553)]",[],[]
miles,[],"[('hours', 0.82228118)]",[]
changes,[],[],[]
lack,[],"[('Plenty', 1.0), ('terms', 1.0), ('tons', 1.0), ('care', 1.0), ('chances', 1.0), ('Shape', 1.0), ('Lots', 1.0), ('fashions', 1.0), ('textures', 1.0), ('thoughts', 1.0), ('outsides', 1.0), ('layers', 1.0), ('Lack', 1.0), ('tips', 1.0), ('Kind', 1.0), ('Couple', 1.0), ('lengths', 1.0), ('kinds', 1.0), ('lots', 0.99996883), ('rest', 0.99960762), ('kind', 0.99499148), ('set', 0.98156911), ('fan', 0.98004442), ('signs', 0.97833991), ('pair', 0.96867788), ('plenty', 0.96717072), ('pairs', 0.96567845), ('end', 0.96494406), ('variety', 0.96451682), ('types', 0.96326673), ('type', 0.95357424), ('ton', 0.95210427), ('lot', 0.94533682), ('balls', 0.94118601), ('versions', 0.94043374), ('matter', 0.93921959), ('periods', 0.9380042), ('edges', 0.93562984), ('middle', 0.92536145), ('outside', 0.92428821), ('alot', 0.91909236), ('tip', 0.90998173), ('look', 0.88255632), ('edge', 0.87725127), ('inside', 0.87124765), ('styling', 0.85501146), ('feel', 0.83982217)]",[]
heel,"[('closet', 0.81543899)]",[],[]
stability,[],[],[]
support,[],[],"[('arch', 0.82375056)]"
arch,[],"[('ankle', 0.91977203)]","[('support', 0.82375056)]"
replacement,[],[],[]
boots,"[('shoes', 0.90356642), ('cleats', 0.8945297), ('babies', 0.88944507), ('sneakers', 0.88536304), ('Today', 0.84541816), ('Boot', 0.84541816), ('slides', 0.8386119), ('sandals', 0.82302272)]","[('shoes', 0.87469387), ('cleats', 0.84204102), ('sneakers', 0.82306635)]",[]
people,[],[],[]
guy,[],[],[]
road,[],[],[]
boot,[],[],[]
hopes,"[('speeds', 0.87433583), ('arches', 0.83264214)]",[],[]
baby,[],[],[]
wear,[],[],[]
kicks,[],[],[]
pool,[],[],[]
beach,[],[],[]
street,[],[],[]
walks,"[('periods', 0.85767668), ('distance', 0.85656554), ('distances', 0.83095318)]","[('shirts', 0.92124975), ('Stylish', 0.87291169), ('roads', 0.84674543), ('squats', 0.81447625)]",[]
reason,[],[],[]
velcro,[],[],[]
Cleats,[],"[('Roshes', 0.90445322), ('Toes', 0.82320553), ('nephews', 0.82320553), ('Lifters', 0.82320553), ('Kicks', 0.82320553), ('Ladies', 0.82320553), ('Laces', 0.82320553), ('Forms', 0.82320553), ('airs', 0.82320553), ('Foams', 0.82320553), ('cleats', 0.81797224), ('shoes', 0.80753225)]",[]
Product,"[('Support', 0.83014411)]",[],[]
complaints,[],"[('feelings', 0.90894818)]",[]
footwear,[],[],[]
years,[],"[('month', 0.93311036), ('months', 0.90669227), ('weeks', 0.87943482)]",[]
